"section_number","section_title","core_files","expected_files","section_type","section_dependencies","ground_truth","template_instructions","transformed_output","reasoning"
"4.2","Exclusion Criteria","Synopsis","","","","Insert the list of exclusion criteria. Exclusion criteria should be taken from the protocol synopsis, without any change.
Use a numbered list for the exclusion criteria.
Precede the numbered list of exclusion criteria with the following text: ""Participants who meet any of the following criteria will be excluded from the study:""","* Insert the list of exclusion criteria.

* Use a numbered list for the exclusion criteria for easier identification of an individual criterion if any amendments are needed.

* Exclusion criteria should be single, stand-alone criteria ideally that can be answered yes or no.

Some suggested text follows:

Subjects who meet any of the following criteria will be excluded from the study.

1. 

9.  Refer to Appendix 5

10. 

11. 

12. 

13. 

14. ","PIPELINE: TEXT_MANIPULATION

Copy the exclusion criteria from the Synopsis, formatting as follows:

- Begin with the introductory text: ""Subjects who meet any of the following criteria will be excluded from the study.""
- Format each exclusion criterion as a numbered list item
- Ensure each criterion is written as a single, stand-alone statement that can be answered yes or no
- Include all exclusion criteria from the Synopsis in sequential numerical order
- For any criterion that references contraceptive guidance, format as: ""[criterion number]. Refer to Appendix 5""
- Maintain the exact wording of each exclusion criterion as specified in the Synopsis","The input instruction requests copying exclusion criteria from a source and formatting them in a specific numbered list structure. This is a TEXT_MANIPULATION task since it involves copying existing content with formatting requirements rather than authoring new content. The directive 'Insert the list of exclusion criteria' indicates content should be copied from the Synopsis (primary source). The numbered list requirement was preserved exactly as specified. The instruction about single, stand-alone yes/no criteria was converted to a formatting directive to ensure proper structure. The suggested text structure with the introductory sentence was incorporated as a formatting requirement. The reference to 'Appendix 5' in the example was preserved as a conditional formatting instruction for any criteria that reference contraceptive guidance. The instruction maintains the requirement for sequential numbering and preserves the exact wording requirement to avoid any alteration of regulatory language."
"4.3","Screen Failures","Synopsis","","","","Example text provided as a guide, customize as needed:
[Screen failures are defined as subjects who consent to participate in the clinical trial but are not subsequently randomly assigned to the study intervention or entered in the study. A minimal set of screen failure information is required to ensure transparent reporting of screen failure subjects, to meet the Consolidated Standards of Reporting Trials (CONSORT) publishing requirements and to respond to queries from regulatory authorities. Minimal information includes demography, screen failure details, eligibility criteria, and any serious adverse event (SAE).
Individuals who do not meet the criteria for participation in this trial (screen failure) because of a <specify modifiable factor> may be rescreened. Rescreened subjects should be assigned the same subject number as for the initial screening.]
","*Subjects who are consented to participate in the clinical trial, who do not meet one or more criteria required for participation in the trial during the screening procedures, are considered screen failures. Indicate how screen failures will be handled in the trial, including conditions and criteria upon which re-screening is acceptable, when applicable.*  
*Example text provided as a guide, customize as needed:*

\[Screen failures are defined as subjects who consent to participate in the clinical trial but are not subsequently randomly assigned to the study intervention or entered in the study. A minimal set of screen failure information is required to ensure transparent reporting of screen failure subjects, to meet the Consolidated Standards of Reporting Trials (CONSORT) publishing requirements and to respond to queries from regulatory authorities. Minimal information includes demography, screen failure details, eligibility criteria, and any serious adverse event (SAE).

Individuals who do not meet the criteria for participation in this trial (screen failure) because of a  may be rescreened. Rescreened subjects should be assigned the same subject number as for the initial screening.\]
","PIPELINE: TEXT_MANIPULATION

- Define screen failures as subjects who consent to participate in the clinical trial but do not meet one or more criteria required for participation during screening procedures
- State that screen failures are subjects who are not subsequently randomly assigned to the study intervention or entered in the study
- Specify that a minimal set of screen failure information is required to ensure transparent reporting of screen failure subjects
- List the purposes for collecting screen failure information:
  • Meet Consolidated Standards of Reporting Trials (CONSORT) publishing requirements
  • Respond to queries from regulatory authorities
- Enumerate the minimal information required for screen failures:
  • Demography
  • Screen failure details
  • Eligibility criteria
  • Any serious adverse event (SAE)
- State conditions for re-screening when applicable:
  • Copy re-screening criteria from Synopsis if specified
  • If re-screening is permitted, specify that rescreened subjects should be assigned the same subject number as for the initial screening
- Include any additional screen failure handling procedures specified in the Synopsis","The input instruction provides example boilerplate text with guidance to customize as needed, which signals TEXT_MANIPULATION pipeline. The instruction asks to indicate how screen failures will be handled, including re-screening conditions 'when applicable'. I transformed the example text into directive bullet points using action verbs like 'Define', 'State', 'Specify', 'List', 'Enumerate'. I preserved the original technical language including 'Consolidated Standards of Reporting Trials (CONSORT)', 'screen failures', and 'randomly assigned to study intervention'. I maintained the conditional language 'when applicable' for re-screening as specified in the original instruction. I added a directive to copy re-screening criteria from Synopsis if specified, since the Synopsis is the primary source for protocol content. I structured the minimal information requirements as a bulleted list for clarity. I preserved the instruction about using the same subject number for rescreened subjects exactly as written in the example text. The instruction is self-contained within this section and doesn't reference other sections."
"4.4","Strategies for Recruitment and Retention","Synopsis","","","","Identify general strategies for subject recruitment and retention. This section may refer to a separate detailed recruitment and retention plan in the manual of procedures (MOP) and site-specific plans could be included in a site-specific standard operating procedure (SOP). Consider inclusion of the information below either in this section or the MOP.
Target study sample size by gender, race and ethnicity, and age; identify anticipated number to be screened including women and minorities in order to reach the target enrollment (should be consistent with information contained in Section 9.2, Determination of Sample Size).
Anticipated accrual rate.
Anticipated number of sites and subjects to be enrolled from the US and outside the US.
Source of subjects (eg, inpatient hospital setting, outpatient clinics, student health service, or general public).
Recruitment venues.
How potential subjects will be identified and approached.
Types of recruitment strategies planned (eg subject advocacy groups, national newspaper, local flyers; social media, specific names of where advertisements may be planned are not needed).
If the study requires long-term participation, describe procedures that will be used to enhance subject retention (eg, multiple methods for contacting subjects, visit reminders, incentives for visit attendance).
If applicable, specific strategies that will be used to recruit and retain historically under-represented populations in order to meet target sample size and conform with the NIH Policy on Inclusion of Women and Minorities as Subjects In Research Involving Human Subjects. Include the number of women and minorities expected to be recruited, or provide justification on those rare occasions where women and/or minorities will not be recruited.
In addition, this section should address:
If appropriate, include justification for inclusion of vulnerable subjects and recruitment strategy. Vulnerable subjects include, but are not limited to pregnant women, those who lack consent capacity, including the mentally ill, prisoners, cognitively impaired subjects, children, and employee volunteers. Include safeguards for protecting vulnerable populations. Please refer to OHRP guidelines when choosing the study population. Note that these regulations apply if any subjects are members of the designated population, even if it is not the target population (eg, if a subject becomes a prisoner during the study).
If subjects will be compensated or provided any incentives (eg vouchers, gift cards,) for study participation, describe amount, form and timing of such compensation in relation to study activities (include financial and non-financial incentives). Describe who will receive incentives (if not the subject). For example, if minors, state whether the minor or the parent/guardian will receive the incentive. If incapacitated adults, state if payment will be provided to the subject or to a legally authorized representative or guardian.","**This section may be deleted in favor of having this information in the MOP, especially if recruitment strategies have not been finalized**.*Identify general strategies for subject recruitment and retention. This section may refer to a separate detailed recruitment and retention plan in the manual of procedures (MOP) and site-specific plans could be included in a site-specific standard operating procedure (SOP). Consider inclusion of the information below either in this section or the MOP.*

* Target study sample size by gender, race and ethnicity, and age; identify anticipated number to be screened including women and minorities in order to reach the target enrollment (should be consistent with information contained in Section 9.2, Determination of Sample Size).

* Anticipated accrual rate.

* Anticipated number of sites and subjects to be enrolled from the US and outside the US.

* Source of subjects (eg, inpatient hospital setting, outpatient clinics, student health service, or general public).

* Recruitment venues.

* How potential subjects will be identified and approached.

* Types of recruitment strategies planned (eg subject advocacy groups, national newspaper, local flyers; social media, specific names of where advertisements may be planned are not needed).

* If the study requires long-term participation, describe procedures that will be used to enhance subject retention (eg, multiple methods for contacting subjects, visit reminders, incentives for visit attendance).

* If applicable, specific strategies that will be used to recruit and retain historically under-represented populations in order to meet target sample size and conform with the NIH Policy on Inclusion of Women and Minorities as Subjects In Research Involving Human Subjects. Include the number of women and minorities expected to be recruited, or provide justification on those rare occasions where women and/or minorities will not be recruited.

In a*ddition, this section should address:*

* If appropriate, include justification for inclusion of vulnerable subjects and recruitment strategy. Vulnerable subjects include, but are not limited to pregnant women, those who lack consent capacity, including the mentally ill, prisoners, cognitively impaired subjects, children, and employee volunteers. Include safeguards for protecting vulnerable populations. Please refer to OHRP guidelines when choosing the study population. Note that these regulations apply if any subjects are members of the designated population, even if it is not the target population (eg, if a subject becomes a prisoner during the study).

* If subjects will be compensated or provided any incentives (eg vouchers, gift cards,) for study participation, describe amount, form and timing of such compensation in relation to study activities (include financial and non-financial incentives). Describe who will receive incentives (if not the subject). For example, if minors, state whether the minor or the parent/guardian will receive the incentive. If incapacitated adults, state if payment will be provided to the subject or to a legally authorized representative or guardian.","PIPELINE: TEXT_MANIPULATION

- Copy the target study sample size by gender, race and ethnicity, and age from the Synopsis
- Copy the anticipated number to be screened including women and minorities from the Synopsis
- Ensure consistency with information contained in Section 9.2, Determination of Sample Size
- State the anticipated accrual rate from the Synopsis
- State the anticipated number of sites and subjects to be enrolled from the US and outside the US from the Synopsis
- Describe the source of subjects (eg, inpatient hospital setting, outpatient clinics, student health service, or general public) from the Synopsis
- List recruitment venues from the Synopsis
- Describe how potential subjects will be identified and approached from the Synopsis
- List types of recruitment strategies planned (eg subject advocacy groups, national newspaper, local flyers; social media) from the Synopsis
- If the study requires long-term participation, describe procedures that will be used to enhance subject retention (eg, multiple methods for contacting subjects, visit reminders, incentives for visit attendance) from the Synopsis
- If applicable, describe specific strategies that will be used to recruit and retain historically under-represented populations in order to meet target sample size and conform with the NIH Policy on Inclusion of Women and Minorities as Subjects In Research Involving Human Subjects from the Synopsis
- Include the number of women and minorities expected to be recruited from the Synopsis, or provide justification on those rare occasions where women and/or minorities will not be recruited from the Synopsis
- If appropriate, include justification for inclusion of vulnerable subjects and recruitment strategy from the Synopsis
- Include safeguards for protecting vulnerable populations from the Synopsis
- If subjects will be compensated or provided any incentives for study participation, describe amount, form and timing of such compensation in relation to study activities from the Synopsis
- Describe who will receive incentives (if not the subject) from the Synopsis","The input instruction contains detailed bullet points specifying exact content elements to be included in the recruitment and retention section. Each bullet point represents a specific piece of information that should be copied from the Synopsis (the primary source). The instruction uses language like 'identify', 'describe', 'list', and 'include' which are directive verbs, but the content is clearly meant to be extracted from existing source material rather than authored or synthesized. The instruction specifies that information should be 'consistent with Section 9.2' and references specific data points like sample sizes, accrual rates, and site numbers that would exist in structured form in the Synopsis. All conditional statements ('if applicable', 'if appropriate', 'if the study requires') were preserved exactly as written. The instruction does not require synthesis from multiple sources or authoring of new content, but rather extraction and presentation of existing recruitment and retention information from the Synopsis, making this a TEXT_MANIPULATION pipeline task."
"5","STUDY TREATMENT(S)","Synopsis","","Heading","","","","",""
"5.1","Description of Treatment(s)","Synopsis","","Heading","","","","",""
"5.1.1","Study Drug","Synopsis","Investigators Brochure","","","Describe the study intervention(s).
Product information can usually be obtained from the:
IB for an investigational drug or biologic
Package insert for a licensed or approved drug or biologic or device labeling for a licensed device
Proposed labeling and/or material safety data sheet (MSDS) for an investigational device
Final labeling for a marketed device.
Study drug is the drug(s) being tested in the study. This section should describe the active study intervention(s) (drug/device/etc.) but not the placebo or control without going into too much detail about dosing/administration. Describe the class of the study drug(s)/device. Describe the composition of the drug(s)/components of the device. Describe the formulation (e.g., tablet for oral administration, lyophilized powder to be reconstituted with sterile water for injection, solution for IV administration), how much active substance is in the dosage unit (e.g., 5 mg of drug X), and what the excipients are (if any). Information should be provided for each drug under investigation in the study (active drug, placebo, co-administered treatments). 
Do not include information about supportive treatments, such as pre- and post-medication for transplants. For each investigational drug administered/investigational device used in the study, this section should also contain information on how it is supplied: what kind of container, how much of the study intervention is in each container.
Do not describe preparation and administration of the study drug(s). Do not describe the storage of the study drug(s). Do not describe the handling of the study drug(s). Do not describe doses or dose regimens for the study drug(s). Do not describe dose adjustments or dose modifications for the study drugs. Do not discuss previous clinical trials. Do not describe mechanism of action for the study drug(s). Do not describe contraindications for the study drug(s). Do not describe dosage and administration of the study drug(s).","","",""
"5.1.2","Placebo or Control","Synopsis","Investigators Brochure","","","Describe the control product (placebo or active comparator).

Product information can usually be obtained from the:
IB for an investigational drug or biologic
Package insert for a licensed or approved drug or biologic or device labeling for a licensed device
Proposed labeling and/or material safety data sheet (MSDS) for an investigational device
Final labeling for a marketed device.
This section should describe the placebo or comparator without going into too much detail about dosing/administration. Describe the composition of the placebo or comparator drug/components of the placebo or comparator device. Describe the formulation of the placebo or comparator drug (e.g., tablet for oral administration, lyophilized powder to be reconstituted with sterile water for injection, solution for IV administration), how much active substance is in the dosage unit (e.g., 5 mg of drug X) and what  the excipients are (if any). Information should be provided for each placebo or control drug under investigation in the study (active drug, placebo, co-administered treatments). 
Do not include information about supportive treatments, such as pre- and post-medication for transplants. For each placebo or comparator drug administered/placebo or comparator device used in the study, this section should also contain information on how it is supplied: what kind of container, how much of the placebo or comparator drug in each container.
Do not describe investigational product that is administered only in the non-control arm of the study. Do not describe dose modifications or dose adjustments for the comparator drug . Do not describe doses or dose regimens for the comparator drug. Do not discuss previous clinical trials. Do not call an active comparator a placebo. Do not describe the study design. Do not describe study drug(s) or device(s) other than the comparator drug/device","","",""
"5.2","Treatment Administered","Synopsis","Investigators Brochure","","3.1, 5.1.1, 5.1.2","Provide the following information:
The trial treatment(s) to be administered, including the trade and generic names(s) of all the product(s), as well as the name(s) of active and inactive ingredients.
The dose(s).
The route/mode(s) of administration (eg, oral, nasal, intramuscular).
The dosing schedule.
The treatment period(s), including the follow-up period(s) for subjects for each IP treatment/trial treatment group/arm of the trial.
The type of comparator(s) (eg, placebo, no treatment, active drug, dose-response) and study configuration (parallel, cross-over).
Who will be responsible for dispensing study drug(s) or device(s). How to prepare study drug(s) or device(s).

This section should contain the name of the study intervention(s) and instructions for administration of the study intervention(s) to the participant (e.g., oral administration, intramuscular injection into the deltoid region of the dominant arm, intravenous bolus, etc.). This section should include dose regimens (e.g., twice daily)/dosing intervals (e.g., every 12 hours) if there is more than one dose to be administered in the study, when the first dose is administered (generally Day 1), and for how long the treatment should be given (e.g., single dose, three 28-day cycles, etc.).
This section should contain information about the investigational product, dose, route of administration, dosage and mode of administration of each drug.
Do not describe storage of the study intervention(s). Do not describe the composition of the study intervention(s). Do not describe participant follow-up. Do not describe dose modifications or treatment continuation. Do not describe the class or mechanism of action of the study drug(s) or study device(s). Do not describe special precautions for handling study drug(s). Describe the preparation of the study drug(s). Do not describe supportive and rescue treatments. Do not describe missed or vomited doses of the study drug(s). Do not describe dose modifications of the study drug(s).","Provide the following information:

* The trial treatment(s) to be administered, including the trade and generic names(s) of all the product(s), as well as the name(s) of active and inactive ingredients.

* The dose(s).

* The route/mode(s) of administration (eg, oral, nasal, intramuscular).

* The dosing schedule.

* The treatment period(s), including the follow-up period(s) for subjects for each IP treatment/trial treatment group/arm of the trial.

* The type of comparator(s) (eg, placebo, no treatment, active drug, dose-response) and study configuration (parallel, cross-over).

* The method for dispensing study treatment to the subject and who will be responsible for dispensing study treatment.

The following figure is provided as a sample of the template figure format.

**Figure 1.        Sample Figure**","PIPELINE: TEXT_MANIPULATION

- Copy the trial treatment information from Synopsis, including:
  • Trade and generic names of all investigational products
  • Names of active and inactive ingredients for each product

- Copy the dose information from Synopsis for each treatment arm

- Copy the route and mode of administration from Synopsis (e.g., oral, nasal, intramuscular)

- Copy the dosing schedule from Synopsis for each treatment group

- Copy the treatment period duration from Synopsis, including:
  • Treatment period length for each investigational product treatment group
  • Follow-up period duration for subjects in each trial treatment arm

- Copy the comparator information from Synopsis, including:
  • Type of comparator (e.g., placebo, no treatment, active drug, dose-response)
  • Study configuration (parallel, cross-over)

- Copy the method for dispensing study treatment to subjects from Synopsis

- Copy information identifying who will be responsible for dispensing study treatment from Synopsis

Insert the following files as images into the content:
1. Figure 1 sample figure file (if provided)","The input instruction requests specific treatment administration details to be provided, with explicit bullet points listing required content elements. Since the authoring mode specifies Synopsis as the primary source for protocol authoring and content may be directly copied from it, I transformed each bullet point into a TEXT_MANIPULATION directive using 'Copy from Synopsis' format. Each bullet point from the original instruction was preserved as a separate copy directive to maintain the specific content requirements: trade/generic names and ingredients, doses, routes/modes, dosing schedule, treatment periods including follow-up, comparator types and study configuration, and dispensing method and responsibility. The instruction mentioned a sample figure template, so I included an image insertion directive for Figure 1 with conditional language since the actual file wasn't specified. TEXT_MANIPULATION pipeline was selected because all content is to be copied directly from the Synopsis source document without synthesis or authoring from multiple references."
"5.3","Selection and Timing of Dose for Each Subject","Synopsis","Investigators Brochure","","3.1","Provide the following information:
Procedures for selecting each subjectâ€™s dose of test drug/IP and active control/comparator. These procedures can vary from simple random assignment to a selected fixed drug/dose regimen, to some specified titration procedure, to more elaborate response-determined selection procedures, eg, where dose is titrated upward at intervals until intolerance or some specified endpoint is achieved.
Procedures for back-titration, if any.
The timing (time of day, interval) of dosing and the relation of dosing to meals. If appropriate, state that there is no relationship to the timing of meals.
Any specific instructions to be given to subjects about when or how to take the dose(s).
Any requirements such as the need for previous fasting and the duration of this fasting. Also, specify if there is any particular meal restriction or meal composition that should or should not go with the treatment administration. It should also be considered if the patient needs to be in a specific position during the treatment administration.
Do not describe dose modifications or treatment regimen modifications for the study drug(s). Do not describe administration of the study drug(s). Describe when the start of treatment and the end of treatment are. Do not describe what to do in case of a missed dose. When describing pharmacokinetics of a study drug, clearly indicate which drug is being discussed. Do not describe treatment schedule and monitoring. Do not describe supportive or rescue treatments. Do not describe participant positioning during study drug administration. Do not describe handling instructions for the study drug(s). Do not describe any product information.","Provide the following information:

* Procedures for selecting each subject’s dose of test drug/IP and active control/comparator. These procedures can vary from simple random assignment to a selected fixed drug/dose regimen, to some specified titration procedure, to more elaborate response-determined selection procedures, eg, where dose is titrated upward at intervals until intolerance or some specified endpoint is achieved.

* Procedures for back-titration, if any.

* The timing (time of day, interval) of dosing and the relation of dosing to meals. If appropriate, state that there is no relationship to the timing of meals.

* Any specific instructions to be given to subjects about when or how to take the dose(s).
","PIPELINE: TEXT_MANIPULATION

- Copy the dose selection procedures for each subject from the Synopsis, including:
  • Method for determining individual subject doses (random assignment, titration procedure, or response-determined selection)
  • Specific criteria for dose adjustments if applicable
  • Any stratification factors used in dose assignment

- Copy procedures for back-titration from the Synopsis if available
- If back-titration procedures are not specified in the Synopsis, state ""No back-titration procedures are specified for this study""

- Copy the dosing timing requirements from the Synopsis, including:
  • Time of day for dose administration
  • Dosing intervals
  • Relationship of dosing to meals
  • If no meal relationship exists, state ""Dosing has no relationship to the timing of meals""

- Copy any specific subject instructions for dose administration from the Synopsis, including:
  • Instructions on when to take doses
  • Instructions on how to take doses
  • Any special handling or preparation requirements for subjects","The input instruction requests copying specific procedural information about dose selection, timing, and administration instructions. This is clearly a TEXT_MANIPULATION task as it involves copying existing content from the Synopsis rather than synthesizing from multiple sources. I transformed the bullet points into directive copy instructions while preserving the original structure and terminology. For dose selection procedures, I specified copying from Synopsis and enumerated the types of procedures mentioned (random assignment, titration, response-determined). For back-titration, I added a conditional instruction to handle cases where this information may not be available. For timing information, I preserved the specific elements mentioned (time of day, interval, meal relationship) and included the conditional statement about no meal relationship. For subject instructions, I maintained the original phrasing about 'when or how to take' and added handling requirements as this is commonly part of administration instructions. Each bullet point was converted to a copy directive with specific content boundaries to ensure complete coverage of the required information."
"5.4","Dose Escalation And Modification","Synopsis","Investigators Brochure","","3.1","If applicable, describe the dose escalation scheme (using exact dose, rather than percentages). State any minimum period required before a subjectâ€™s dose might be raised to the next higher dose or dose range. If applicable, the protocol should state the conditions under which a dose change will be made, particularly in regard to failure to respond or to toxic or untoward changes in stipulated indicators (eg, white blood cell count in cancer chemotherapy).
Address dose modifications for specific abnormal laboratory values of concern or other adverse events (AEs) that are known to be associated with the planned study intervention. The protocol must state explicitly the dose-limiting effects that are anticipated. Provide criteria that will be used to determine dose escalations. If a subject is responding positively to the intervention, the protocol should specify whether study intervention administration would progress to still higher doses. If appropriate, provide a dose de-escalation schema with intervention modifications. Do not restate reasons for withdrawal of subjects. Cross-reference relevant sections, as appropriate. Describe treatment delays or interruptions.
This section should not describe any information about treatment-emergent adverse events and how they will be assessed. This must include the criteria for any dose modification. Do not repeat the planned doses of study drug(s). Do not describe the schedule for administration of the study drug(s). If no dose modifications are planned for a specific study drug, clearly state that no dose modifications are planned. ","*If applicable, describe the dose escalation scheme and dose regimen (using exact dose, rather than percentages). State any minimum period required before a subject’s dose might be raised to the next higher dose or dose range. If applicable, the protocol should state the conditions under which a dose change will be made, particularly in regard to failure to respond or to toxic or untoward changes in stipulated indicators (eg, white blood cell count in cancer chemotherapy).*

*Address dose modifications for specific abnormal laboratory values of concern or other adverse events (AEs) that are known to be associated with the planned study intervention. The protocol must state explicitly the dose-limiting effects that are anticipated. Provide criteria that will be used to determine dose escalations. If a subject is responding positively to the intervention, the protocol should specify whether study intervention administration would progress to still higher doses. If appropriate, provide a dose de-escalation schema with intervention modifications. Do not restate reasons for withdrawal of subjects. Cross-reference relevant sections, as appropriate.*
","PIPELINE: TEXT_MANIPULATION

- Copy the dose escalation scheme and dose regimen from the Synopsis, specifying exact doses rather than percentages
- State the minimum period required before a subject's dose might be raised to the next higher dose or dose range, if applicable
- Copy the conditions under which a dose change will be made from the Synopsis, particularly in regard to failure to respond or to toxic or untoward changes in stipulated indicators
- Include dose modifications for specific abnormal laboratory values of concern or other adverse events that are known to be associated with the planned study intervention
- State explicitly the dose-limiting effects that are anticipated
- Provide criteria that will be used to determine dose escalations
- Specify whether study intervention administration would progress to still higher doses if a subject is responding positively to the intervention
- Provide a dose de-escalation schema with intervention modifications, if appropriate
- Exclude reasons for withdrawal of subjects from this section","The input instruction contains multiple 'if applicable' conditions which were preserved exactly as conditional requirements. The instruction asks to 'describe' and 'state' information about dose escalation schemes, which indicates copying existing content from the Synopsis rather than authoring new content. Each bullet point corresponds to a specific requirement from the input: dose escalation scheme (exact doses), minimum periods, conditions for dose changes, dose modifications for lab values/AEs, dose-limiting effects, escalation criteria, progression to higher doses, de-escalation schema, and exclusion of withdrawal reasons. The instruction to 'cross-reference relevant sections' was removed per transformation rule 11. All conditional language like 'if applicable' and 'if appropriate' was preserved exactly as stated in the input per rule 10. The TEXT_MANIPULATION pipeline was selected because the instruction primarily involves copying structured content from the Synopsis source document."
"5.5","Missed Dose","Synopsis","Investigators Brochure","","3.1, 5.1.1, 5.1.2","Include any specific instructions about how delayed or missed doses should be handled. Do not describe visit scheduling flexibility.","","",""
"5.6","Randomization and Blinding or Masking","Synopsis","Investigators Brochure","","3.1","This section should contain a description of randomization and blinding (or masking for vision studies) procedures (if applicable to the study design). It should include a description or a table that describes how study subjects will be assigned to study groups, without being so specific that blinding or randomization might be compromised (eg, the ratio between intervention and placebo groups may be stated). If adaptive randomization or other methods of covariate balancing/minimization are employed, include a cross link to the methods of analysis in Section 9, Planned Statistical Methods. In addition, details regarding the implementation of procedures to minimize bias should be included in this section. DO NOT include details that might compromise these strategies. Design techniques to avoid bias can be found in the ICH Guidance for Industry E9 Statistical Principles for Clinical Trials.
Plans for the maintenance of trial randomization codes and appropriate blinding for the study should be discussed. The timing and procedures for planned and unplanned breaking of randomization codes should be included. Include a statement regarding when unblinding may occur and who may unblind. Provide the criteria for breaking the study blind or subject code. Discuss the circumstances in which the blind would be broken for an individual or for all subjects (eg, for SAEs). Indicate to whom the intentional and unintentional breaking of the blind should be reported.
Sometimes blinding is attempted but is known to be imperfect because of obvious effects related to study intervention or control product in some subjects (eg, dry mouth, bradycardia, fever, injection site reactions, and changes in laboratory data). Such problems or potential problems should be identified and, if there are plans to assess the magnitude of the problem or manage it, these should be described (eg, having endpoint measurements carried out by study staff shielded from information that might reveal study group assignment).
Explain whether blinding is considered unnecessary to reduce bias for some or all of the observations; eg, use of a random-zero sphygmomanometer eliminates possible observer bias in reading blood pressure and Holter tapes are often read by automated systems that are presumably immune to observer bias.
Describe the reasons and implications if blinding is considered desirable but not feasible. Sometimes blinding is attempted even though it is known to be imperfect because of obvious drug effects in at least some subjects (eg, dry mouth, bradycardia, fever, injection site reactions, or changes in laboratory data). Identify such problems or potential problems and discuss whether there will be any attempts to assess the magnitude of the problem or to manage it (eg, by having some endpoint measurements carried out by people shielded from information that might reveal treatment assignment).
Specify the method of assigning participants to different treatment arms (e.g., assigned a treatment number in the order in which they are enrolled, an interactive response system, randomized in blocks, incomplete blocks, stratified by age group/sex/previous treatment received) and in what ratio they will be assigned to each group (e.g., 2:1 active drug:placebo). Any table here should include the planned number of participants per group, the ratio of active-treated vs. placebo-treated participants, and possibly the treatment kit numbers assigned to each group. 

The calculation of sample size should not be in this section.
Describe how the study is blinded (e.g., single- or double-blinded) if applicable, how the study drug and placebo are blinded (e.g., tablets with the same appearance, placebo over encapsulated to match the active drug's appearance, opaque syringes), and how the blind is maintained (e.g., sealed envelopes, interactive system). Specify which clinical study staff are unblinded and what the unblinded study team will be responsible for/involved in (e.g., the unblinded staff will have no participant contact).

In ophthalmological studies, use the term """"masked"""" instead of """"blinded.""""

Provide details about lifting the blind during the study, including the circumstances under which treatment assignment can be unblinded, who has the authority to unblind the study (usually just the investigator), and how the blind will be lifted.","","",""
"5.7","Concomitant Therapy","Synopsis","Investigators Brochure","","4.1, 4.2","Include content in this section if applicable, otherwise note as not applicable.
Insert the following text at the beginning of this section:
""For this protocol, a prescription medication is defined as a medication that can be prescribed only by a properly authorized/licensed clinician. Medications to be reported in the electronic case report form (eCRF) are concomitant prescription medications, over-the-counter medications, and supplements.""
In addition, provide the following information:
-Which medication(s)/treatment(s) will be permitted during the study (including rescue medication),
-Any other specific rules and procedures related to permitted or forbidden concomitant therapy, eg, whether specific concomitant medications would result in a subjectâ€™s discontinuation from the study.
-Identify and specify concomitant medications that may cause pharmacokinetic interactions, particularly those involving CYP isozymes and transporter proteins. If a specific enzyme or transporter plays a key role in the metabolism of the study drug(s), list activators and inhibitors of that enzyme or transporter as restricted or prohibited.
-Include a list of medication classes that could interfere with study assessments. For example, cognitive assessment studies may need to exclude drugs that impact cognition, while anticoagulants may need to be restricted in studies involving drugs with anticoagulant properties.
-Add any prohibited/permitted concomitant treatment information from the inclusion/exclusion criteria of the synopsis.
-Include any expressly prohibited/permitted concomitant surgeries from the inclusion/exclusion criteria of the synopsis.
-Include any expressly prohibited/permitted concomitant other medical procedures from the inclusion/exclusion criteria of the synopsis.
Do not describe the study drug(s). Do not describe prior therapy, treatment, or medications. Do not describe dosage modifications and delays for the study drug(s). Describe supportive and rescue treatments. Do not describe treatment interruptions. Do not describe any procedures that are prohibited before study drug administration. Do not discuss exclusion criteria that do not mention a prohibited concomitant drug or prohibited concomitant other medical procedure.","","",""
"5.8","Restrictions","Synopsis","Investigators Brochure","","3.1, 4.2","Include content in this section if applicable, otherwise note as not applicable.
Describe any restrictions during any parts of the study pertaining to lifestyle and/or diet (eg, food and drink restrictions, timing of meals relative to dosing, intake of caffeine, alcohol, or tobacco, or limits on activity), and considerations for household contacts. Describe what action will be taken if prohibited medications, treatments or procedures are indicated for care (eg, early withdrawal). Information on the restrictions in place during the study may be found in the inclusion/exclusion criteria (Sections 4.1 and 4.2). More infrequently, some restrictions may apply during certain efficacy or safety assessments (Section 6.3 and 6.4)
Describe if these restrictions (pertaining to lifestyle and/or diet (eg, food and drink restrictions, heavy exertion/strenuous, timing of meals relative to dosing, intake of caffeine, alcohol, or tobacco, or limits on activity), and considerations for household contacts) apply during all the protocol or for a certain period of time. If applicable, state quantities that are allowed or prohibited. Define measures to take if a participant breaks a restriction or takes a prohibited medication, such as withdrawal from the study, discontinuation of further sample collection, cessation of further study drug administration, or other measures as determined by the Sponsor.
For considerations for household contacts, include content only if participants are being administered an infectious agent. Specify measures to prevent contagion to household members, including precautions around immunocompromised individuals or unvaccinated infants.","","",""
